Name,Team,playerid,mlbid
Brian O'Keefe,Cardinals (A+),sa829152,657247
Brian Olson,Twins (AA),sa876130,665027
Brian Rey,Reds (R),sa3007307,681023
Brian Sanchez,Cardinals (R),sa872475,660354
Brian Schales,Marlins (AA),sa828808,656935
Brian Serven,Rockies (A+),sa857231,661531
Brian Sharp,Mets (A-),sa3006663,674665
Brice Turang,- - -,sa3008294,668930
Brock Carpenter,Dodgers (A),sa738974,643246
Brock Deatherage,- - -,sa3006848,656361
Brock Dykxhoorn,Astros (AA),sa658513,621245
Brock Lundquist,- - -,sa3002834,656668
Bruce Caldwell,- - -,sa658271,621560
Bruce Yari,Reds (A+),sa918522,670435
Bruce Zimmermann,Braves (AA),sa3004810,669145
Bryan Asencio,- - -,sa3005548,678720
Bryan Bencosme,Nationals (R),sa872766,658542
Bryan Ciriaco,Orioles (R),sa917165,666607
Bryan Connell,- - -,sa916736,665706
Bryan De La Cruz,- - -,sa828304,650559
Bryan Dimas,Indians/Brewers (R),sa3002848,672557
Bryan Harper,Nationals (AA),sa549768,543280
Bryan Hernandez,Giants (R),sa3008408,681513
Bryan Lavastida,Indians (R),sa3006917,681526
Bryan Lizardo,- - -,sa827944,650991
Bryan Mateo,Pirates (R),sa3005494,678250
Bryan Mejia,Nationals (A+),sa597100,606240
Bryan Pineda,Marlins (R),sa3003292,672697
Bryan Reynolds,Pirates (AA),sa873683,668804
Bryan Santos,Rays (R),sa3003382,673169
Bryan Torres,Padres (R),sa3002858,672786
Bryan Torres,- - -,sa885119,672786
Bryant Arrieche,Yankees (R),sa3008270,682492
Bryant Flete,White Sox (AA),sa657425,622356
Bryant Quijada,Rockies (R),sa3004882,676016
Bryce Brown,Rays (A-),sa3003434,676716
Bryce Bush,- - -,sa3008278,675789
Bryce Denton,- - -,sa874798,663475
Bryce Johnson,Giants (A+),sa3004753,669369
Bryndan Arredondo,Orioles (A-),sa3004369,641317
Bryse Wilson,Braves (AA),sa917958,669060
Bryson Brigman,- - -,sa829857,624417
Bubba Derby,Brewers (AAA),sa875183,622246
Bubba Hollins,- - -,sa829697,657617
Bubba Starling,- - -,sa597751,605490
Bubba Thompson,Rangers (A),sa3004140,669352
Bud Jeter,Diamondbacks (AA),sa738369,641728
Buddy Kennedy,Diamondbacks (R),sa3004617,671083
Buddy Reed,- - -,sa738683,642002
C.J. Hinojosa,- - -,sa658616,546994
C.J. Chatham,- - -,sa873984,641453
C.J. McElroy,- - -,sa597861,605370
Cabera Weaver,White Sox (R),sa3006866,669015
Cade Gotta,- - -,sa829411,657598
Cade Harris,Rockies (A-),sa3006661,667713
Cadyn Grenier,Orioles (A),sa3008140,663760
Cael Brockmeyer,- - -,sa708438,641400
Cal Hernandez,Mariners (R),sa3006926,682063
Cal Jones,Royals (A),sa918093,669141
Cal Quantrill,- - -,sa738477,615698
Cal Raleigh,Mariners (A-),sa3008377,663728
Cal Stevenson,- - -,sa3006871,670276
Caldioli Sanfler,Nationals (R),sa3002621,668588
Caleb Hamilton,Twins (A+),sa738961,643348
Caleb Knight,- - -,sa3008279,676332
Caleb Marquez,Brewers (R),sa3007518,681303
Caleb Ramsey,Red Sox (R),sa3008081,682053
Caleb Simpson,Giants (AA),sa738717,643539
Calten Daal,Reds (A+),sa729572,636072
Calvin Mitchell,Pirates (A),sa3004258,668751
Cam Balego,- - -,sa3004517,676901
Cam Gibson,- - -,sa659281,622057
Cam Vieaux,Pirates (AA),sa873657,664944
Cam Warner,- - -,sa3004976,599697
Cam Williams,- - -,sa918586,670407
Camden Duzenack,Diamondbacks (A+),sa873988,670427
Cameron Baranek,- - -,sa3004281,676633
Cameron Knight,- - -,sa3004131,656621
Cameron Roegner,- - -,sa918493,670375
Camilo Quinteiro,White Sox (R),sa3006902,678924
Canaan Smith,Yankees (A-),sa3004279,675986
Carl Chester,Rays (A),sa829813,656309
Carlos A. Rodriguez,Yankees (R),sa3008507,679022
Carlos Aguiar,Twins (R),sa3005755,678690
Carlos Arroyo,Pirates (R),sa3005576,678863
Carlos Baerga,Braves (R),sa3004387,675034
Carlos Baez,Orioles (R),sa880736,664331
Carlos Batista,- - -,sa3002856,672776
Carlos Belen,Padres (A),sa736746,627893
Carlos Belonis,Brewers (A+),sa657248,622767
Carlos Canelon,Astros (A+),sa828522,656091
Carlos Cortes,Mets (A-),sa3008079,666126
Carlos De La Cruz,Phillies (R),sa3006903,682527
Carlos Diaz,Astros (R),sa3004757,642696
Carlos Diaz,Giants (AA),sa597196,642696
Carlos Diaz,- - -,sa736959,642696
Carlos Franco,Braves (AAA),sa506528,554238
Carlos Gallardo,Yankees (R),sa873206,661431
Carlos Garay,- - -,sa657431,622794
Carlos Garcia,Pirates (R),sa917361,665899
Carlos Goris,- - -,sa3005604,679755
Carlos Hernandez,Phillies (R),sa3008111,672578
Carlos Herrera,Rockies (A+),sa830140,650508
Carlos Hurtado,Astros (R),sa3005746,678611
Carlos Irigoyen,Tigers (R),sa3005745,678588
Carlos Lopez,- - -,sa550060,643420
Carlos Luis,Padres (R),sa3002860,672861
Carlos Machado,Astros (A-),sa872756,660817
Carlos Martinez,Red Sox (R),sa3005499,642751
Carlos Martinez,- - -,sa737214,642751
Carlos Medrano,Tigers (R),sa3003387,673240
Carlos Mendez,Orioles (R),sa917166,666612
Carlos Mendivil,- - -,sa737687,641104
Carlos Mendoza,Phillies (R),sa3005799,681702
Carlos Moreno,Yankees (R),sa3007300,679475
Carlos Morfa,Cubs (R),sa3005769,678820
Carlos Narvaez,- - -,sa916966,665966
Carlos Navas,Reds (AA),sa550615,593163
Carlos Oropeza,Phillies (R),sa917487,667365
Carlos Pacheco,Cubs (R),sa3003199,672378
Carlos Paraguate,Braves (R),sa3005757,678723
Carlos Paula,Cubs (R),sa3003098,673362
Carlos Penalver,Cubs (AA),sa596953,600948
Carlos Perez,White Sox (A),sa828577,656024
