Name,Team,playerid
Tim Hill,Royals,16814
Spencer Turnbull,Tigers,16207
Silvino Bracho,Diamondbacks,15051
George Kontos,- - -,9486
Jonathan Loaisiga,Yankees,19753
Dan Otero,Indians,7385
Shelby Miller,Diamondbacks,10197
Robert Stephenson,Reds,13594
T.J. McFarland,Diamondbacks,3237
Shawn Kelley,- - -,7773
Zach McAllister,Indians,2895
Sergio Romo,Rays,9817
Luis Cessa,Yankees,13345
Mark Melancon,Giants,4264
Wander Suero,Nationals,15855
Gabriel Ynoa,Orioles,12938
Touki Toussaint,Braves,16929
Michael Feliz,Astros,11903
Adam Conley,Marlins,14457
Chad Bettis,Rockies,10587
Hunter Wood,Rays,15091
Pablo Lopez,Marlins,17085
Joe Ross,Nationals,12972
Alex Wilson,Tigers,9239
Taylor Cole,Angels,11964
Alec Mills,Cubs,13834
Max Fried,Braves,13743
Danny Farquhar,- - -,8501
Amir Garrett,Reds,14375
Kohl Stewart,Twins,15502
Nathan Karns,Royals,12638
Joshua James,Astros,16794
Blaine Boyer,Red Sox,2237
Wandy Peralta,Reds,14295
Kelvin Herrera,- - -,6033
Nick Wittgren,Marlins,15594
Brian Johnson,Red Sox,14272
Enny Romero,Nationals,4001
Felix Hernandez,Mariners,4772
Adam Morgan,Phillies,12580
AJ Ramos,- - -,8350
Tim Mayza,Blue Jays,15042
Josh Fields,Dodgers,5070
Fernando Abad,Red Sox,4994
Tony Zych,Mariners,12876
Carlos Estevez,Rockies,14542
Artie Lewicki,Tigers,16731
Peter Moylan,Royals,4891
Jimmie Sherfy,Diamondbacks,15118
Tyler Mahle,Reds,16358
Austin Maddox,Red Sox,14241
Fernando Salas,- - -,4971
Brad Boxberger,Rays,10133
Luke Jackson,Braves,11752
Jonny Venters,- - -,7175
Zach Putnam,White Sox,9080
Boone Logan,Indians,5525
Dillon Gee,- - -,7396
Taylor Williams,Brewers,14899
Buck Farmer,Tigers,14814
Lucas Giolito,White Sox,15474
Jarlin Garcia,Marlins,18282
Caleb Ferguson,Dodgers,19349
Cory Gearrin,Giants,7947
Drew Anderson,Phillies,15130
Erik Goeddel,- - -,11712
Mike Mayers,Cardinals,15451
Francis Martes,Astros,17303
Deck McGuire,Reds,11596
Bruce Rondon,Tigers,5766
Al Alburquerque,- - -,6324
Steven Brault,Pirates,15291
Jeff Locke,Marlins,2929
Steven Wright,Red Sox,8185
Daniel Wright,Angels,15179
Matt Cain,Giants,4732
